sequence,sent_at,host,port,protocol,resource,result
1,2026-07-21T16:01:06.226202Z,127.0.0.1,18098,tcp,connect,SENT
2,2026-07-21T16:01:06.233553Z,127.0.0.1,23319,tcp,connect,SENT
3,2026-07-21T16:01:06.235033Z,127.0.0.1,18098,signal,CAPS,SENT
4,2026-07-21T16:01:10.236538Z,127.0.0.1,23319,signal,CAPS,SENT
5,2026-07-21T16:01:10.237478Z,127.0.0.1,23319,signal,ROUTE,SENT
6,2026-07-21T16:01:10.239093Z,127.0.0.1,18098,http,/,SENT
7,2026-07-21T16:01:10.242570Z,127.0.0.1,18098,http,/,SENT
8,2026-07-21T16:01:10.243947Z,127.0.0.1,18098,http,/robots.txt,SENT
9,2026-07-21T16:01:10.245165Z,127.0.0.1,18098,http,/ops-diagnostics,SENT
